dhi,dni,ghi,gti,period_end,period
0,0,0,0,2007-01-08T23:00:00+00:00,PT60M
0,0,0,0,2007-01-09T00:00:00+00:00,PT60M
0,0,0,0,2007-01-09T01:00:00+00:00,PT60M
0,0,0,0,2007-01-09T02:00:00+00:00,PT60M
0,0,0,0,2007-01-09T03:00:00+00:00,PT60M
0,0,0,0,2007-01-09T04:00:00+00:00,PT60M
0,0,0,0,2007-01-09T05:00:00+00:00,PT60M
6,46,10,22,2007-01-09T06:00:00+00:00,PT60M
42,488,121,259,2007-01-09T07:00:00+00:00,PT60M
64,684,263,477,2007-01-09T08:00:00+00:00,PT60M
75,775,375,636,2007-01-09T09:00:00+00:00,PT60M
80,813,438,723,2007-01-09T10:00:00+00:00,PT60M
84,808,445,731,2007-01-09T11:00:00+00:00,PT60M
91,733,390,646,2007-01-09T12:00:00+00:00,PT60M
125,47,143,157,2007-01-09T13:00:00+00:00,PT60M
69,0,69,67,2007-01-09T14:00:00+00:00,PT60M
21,48,26,39,2007-01-09T15:00:00+00:00,PT60M
0,0,0,0,2007-01-09T16:00:00+00:00,PT60M
0,0,0,0,2007-01-09T17:00:00+00:00,PT60M
0,0,0,0,2007-01-09T18:00:00+00:00,PT60M
0,0,0,0,2007-01-09T19:00:00+00:00,PT60M
0,0,0,0,2007-01-09T20:00:00+00:00,PT60M
0,0,0,0,2007-01-09T21:00:00+00:00,PT60M
0,0,0,0,2007-01-09T22:00:00+00:00,PT60M
0,0,0,0,2007-01-09T23:00:00+00:00,PT60M
0,0,0,0,2007-01-10T00:00:00+00:00,PT60M
0,0,0,0,2007-01-10T01:00:00+00:00,PT60M
0,0,0,0,2007-01-10T02:00:00+00:00,PT60M
0,0,0,0,2007-01-10T03:00:00+00:00,PT60M
0,0,0,0,2007-01-10T04:00:00+00:00,PT60M
0,0,0,0,2007-01-10T05:00:00+00:00,PT60M
7,36,10,19,2007-01-10T06:00:00+00:00,PT60M
62,224,103,169,2007-01-10T07:00:00+00:00,PT60M
71,642,258,462,2007-01-10T08:00:00+00:00,PT60M
80,752,372,627,2007-01-10T09:00:00+00:00,PT60M
81,811,439,723,2007-01-10T10:00:00+00:00,PT60M
80,819,449,736,2007-01-10T11:00:00+00:00,PT60M
78,788,401,670,2007-01-10T12:00:00+00:00,PT60M
73,696,300,525,2007-01-10T13:00:00+00:00,PT60M
58,478,161,303,2007-01-10T14:00:00+00:00,PT60M
23,11,24,26,2007-01-10T15:00:00+00:00,PT60M
0,0,0,0,2007-01-10T16:00:00+00:00,PT60M
0,0,0,0,2007-01-10T17:00:00+00:00,PT60M
0,0,0,0,2007-01-10T18:00:00+00:00,PT60M
0,0,0,0,2007-01-10T19:00:00+00:00,PT60M
0,0,0,0,2007-01-10T20:00:00+00:00,PT60M
0,0,0,0,2007-01-10T21:00:00+00:00,PT60M
0,0,0,0,2007-01-10T22:00:00+00:00,PT60M
0,0,0,0,2007-01-10T23:00:00+00:00,PT60M
0,0,0,0,2007-01-11T00:00:00+00:00,PT60M
0,0,0,0,2007-01-11T01:00:00+00:00,PT60M
0,0,0,0,2007-01-11T02:00:00+00:00,PT60M
0,0,0,0,2007-01-11T03:00:00+00:00,PT60M
0,0,0,0,2007-01-11T04:00:00+00:00,PT60M
0,0,0,0,2007-01-11T05:00:00+00:00,PT60M
7,12,9,11,2007-01-11T06:00:00+00:00,PT60M
59,0,59,57,2007-01-11T07:00:00+00:00,PT60M
140,0,140,135,2007-01-11T08:00:00+00:00,PT60M
183,286,298,405,2007-01-11T09:00:00+00:00,PT60M
82,824,448,736,2007-01-11T10:00:00+00:00,PT60M
78,847,461,756,2007-01-11T11:00:00+00:00,PT60M
74,820,413,691,2007-01-11T12:00:00+00:00,PT60M
92,604,295,496,2007-01-11T13:00:00+00:00,PT60M
93,214,141,210,2007-01-11T14:00:00+00:00,PT60M
25,38,28,38,2007-01-11T15:00:00+00:00,PT60M
0,0,0,0,2007-01-11T16:00:00+00:00,PT60M
0,0,0,0,2007-01-11T17:00:00+00:00,PT60M
0,0,0,0,2007-01-11T18:00:00+00:00,PT60M
0,0,0,0,2007-01-11T19:00:00+00:00,PT60M
0,0,0,0,2007-01-11T20:00:00+00:00,PT60M
0,0,0,0,2007-01-11T21:00:00+00:00,PT60M
0,0,0,0,2007-01-11T22:00:00+00:00,PT60M
0,0,0,0,2007-01-11T23:00:00+00:00,PT60M
0,0,0,0,2007-01-12T00:00:00+00:00,PT60M
0,0,0,0,2007-01-12T01:00:00+00:00,PT60M
0,0,0,0,2007-01-12T02:00:00+00:00,PT60M
0,0,0,0,2007-01-12T03:00:00+00:00,PT60M
0,0,0,0,2007-01-12T04:00:00+00:00,PT60M
0,0,0,0,2007-01-12T05:00:00+00:00,PT60M
7,0,7,7,2007-01-12T06:00:00+00:00,PT60M
50,355,116,217,2007-01-12T07:00:00+00:00,PT60M
62,694,266,480,2007-01-12T08:00:00+00:00,PT60M
75,771,378,635,2007-01-12T09:00:00+00:00,PT60M
77,824,445,731,2007-01-12T10:00:00+00:00,PT60M
130,642,422,658,2007-01-12T11:00:00+00:00,PT60M
95,728,397,650,2007-01-12T12:00:00+00:00,PT60M
104,212,181,252,2007-01-12T13:00:00+00:00,PT60M
49,0,49,47,2007-01-12T14:00:00+00:00,PT60M
23,4,23,23,2007-01-12T15:00:00+00:00,PT60M
0,0,0,0,2007-01-12T16:00:00+00:00,PT60M
0,0,0,0,2007-01-12T17:00:00+00:00,PT60M
0,0,0,0,2007-01-12T18:00:00+00:00,PT60M
0,0,0,0,2007-01-12T19:00:00+00:00,PT60M
0,0,0,0,2007-01-12T20:00:00+00:00,PT60M
0,0,0,0,2007-01-12T21:00:00+00:00,PT60M
0,0,0,0,2007-01-12T22:00:00+00:00,PT60M
0,0,0,0,2007-01-12T23:00:00+00:00,PT60M
0,0,0,0,2007-01-13T00:00:00+00:00,PT60M
0,0,0,0,2007-01-13T01:00:00+00:00,PT60M
0,0,0,0,2007-01-13T02:00:00+00:00,PT60M
0,0,0,0,2007-01-13T03:00:00+00:00,PT60M
0,0,0,0,2007-01-13T04:00:00+00:00,PT60M
0,0,0,0,2007-01-13T05:00:00+00:00,PT60M
5,1,5,6,2007-01-13T06:00:00+00:00,PT60M
18,0,18,17,2007-01-13T07:00:00+00:00,PT60M
51,0,51,49,2007-01-13T08:00:00+00:00,PT60M
87,0,87,84,2007-01-13T09:00:00+00:00,PT60M
115,0,115,111,2007-01-13T10:00:00+00:00,PT60M
95,0,95,92,2007-01-13T11:00:00+00:00,PT60M
86,0,86,83,2007-01-13T12:00:00+00:00,PT60M
64,0,64,61,2007-01-13T13:00:00+00:00,PT60M
75,0,75,73,2007-01-13T14:00:00+00:00,PT60M
26,5,26,27,2007-01-13T15:00:00+00:00,PT60M
0,0,0,0,2007-01-13T16:00:00+00:00,PT60M
0,0,0,0,2007-01-13T17:00:00+00:00,PT60M
0,0,0,0,2007-01-13T18:00:00+00:00,PT60M
0,0,0,0,2007-01-13T19:00:00+00:00,PT60M
0,0,0,0,2007-01-13T20:00:00+00:00,PT60M
0,0,0,0,2007-01-13T21:00:00+00:00,PT60M
0,0,0,0,2007-01-13T22:00:00+00:00,PT60M
0,0,0,0,2007-01-13T23:00:00+00:00,PT60M
0,0,0,0,2007-01-14T00:00:00+00:00,PT60M
0,0,0,0,2007-01-14T01:00:00+00:00,PT60M
0,0,0,0,2007-01-14T02:00:00+00:00,PT60M
0,0,0,0,2007-01-14T03:00:00+00:00,PT60M
0,0,0,0,2007-01-14T04:00:00+00:00,PT60M
0,0,0,0,2007-01-14T05:00:00+00:00,PT60M
7,15,9,12,2007-01-14T06:00:00+00:00,PT60M
40,0,40,39,2007-01-14T07:00:00+00:00,PT60M
128,0,128,123,2007-01-14T08:00:00+00:00,PT60M
146,440,326,481,2007-01-14T09:00:00+00:00,PT60M
79,829,453,739,2007-01-14T10:00:00+00:00,PT60M
79,836,464,754,2007-01-14T11:00:00+00:00,PT60M
74,819,419,694,2007-01-14T12:00:00+00:00,PT60M
68,743,319,555,2007-01-14T13:00:00+00:00,PT60M
51,604,183,356,2007-01-14T14:00:00+00:00,PT60M
19,207,41,95,2007-01-14T15:00:00+00:00,PT60M
0,0,0,0,2007-01-14T16:00:00+00:00,PT60M
0,0,0,0,2007-01-14T17:00:00+00:00,PT60M
0,0,0,0,2007-01-14T18:00:00+00:00,PT60M
0,0,0,0,2007-01-14T19:00:00+00:00,PT60M
0,0,0,0,2007-01-14T20:00:00+00:00,PT60M
0,0,0,0,2007-01-14T21:00:00+00:00,PT60M
0,0,0,0,2007-01-14T22:00:00+00:00,PT60M
0,0,0,0,2007-01-14T23:00:00+00:00,PT60M
0,0,0,0,2007-01-15T00:00:00+00:00,PT60M
0,0,0,0,2007-01-15T01:00:00+00:00,PT60M
0,0,0,0,2007-01-15T02:00:00+00:00,PT60M
0,0,0,0,2007-01-15T03:00:00+00:00,PT60M
0,0,0,0,2007-01-15T04:00:00+00:00,PT60M
0,0,0,0,2007-01-15T05:00:00+00:00,PT60M
8,15,10,13,2007-01-15T06:00:00+00:00,PT60M
63,0,63,61,2007-01-15T07:00:00+00:00,PT60M
118,343,225,339,2007-01-15T08:00:00+00:00,PT60M
175,349,312,441,2007-01-15T09:00:00+00:00,PT60M
230,235,336,426,2007-01-15T10:00:00+00:00,PT60M
237,214,336,418,2007-01-15T11:00:00+00:00,PT60M
174,0,174,168,2007-01-15T12:00:00+00:00,PT60M
161,0,161,156,2007-01-15T13:00:00+00:00,PT60M
100,0,100,96,2007-01-15T14:00:00+00:00,PT60M
24,8,25,26,2007-01-15T15:00:00+00:00,PT60M
0,0,0,0,2007-01-15T16:00:00+00:00,PT60M
0,0,0,0,2007-01-15T17:00:00+00:00,PT60M
0,0,0,0,2007-01-15T18:00:00+00:00,PT60M
0,0,0,0,2007-01-15T19:00:00+00:00,PT60M
0,0,0,0,2007-01-15T20:00:00+00:00,PT60M
0,0,0,0,2007-01-15T21:00:00+00:00,PT60M
0,0,0,0,2007-01-15T22:00:00+00:00,PT60M
0,0,0,0,2007-01-15T23:00:00+00:00,PT60M
0,0,0,0,2007-01-16T00:00:00+00:00,PT60M
0,0,0,0,2007-01-16T01:00:00+00:00,PT60M
0,0,0,0,2007-01-16T02:00:00+00:00,PT60M
0,0,0,0,2007-01-16T03:00:00+00:00,PT60M
0,0,0,0,2007-01-16T04:00:00+00:00,PT60M
0,0,0,0,2007-01-16T05:00:00+00:00,PT60M
9,19,11,15,2007-01-16T06:00:00+00:00,PT60M
83,57,92,107,2007-01-16T07:00:00+00:00,PT60M
143,0,143,138,2007-01-16T08:00:00+00:00,PT60M
152,0,152,147,2007-01-16T09:00:00+00:00,PT60M
196,0,196,189,2007-01-16T10:00:00+00:00,PT60M
265,78,301,326,2007-01-16T11:00:00+00:00,PT60M
230,32,244,250,2007-01-16T12:00:00+00:00,PT60M
179,10,181,179,2007-01-16T13:00:00+00:00,PT60M
110,152,145,193,2007-01-16T14:00:00+00:00,PT60M
31,32,35,42,2007-01-16T15:00:00+00:00,PT60M
0,0,0,0,2007-01-16T16:00:00+00:00,PT60M
0,0,0,0,2007-01-16T17:00:00+00:00,PT60M
